89;Kryjówka - Music Club & Restaurant;ul. Sławkowska 11;CRACOW;49
90;Krzysztofory Kawiarnia;ul. Szczepańska 2;CRACOW;192
91;Kwadrat Studenckie Centrum Kultury PK;ul. Skarżyńskiego 1;CRACOW;257
92;Prozak;Pl. Dominikański 6;CRACOW;246
93;Przychodnia Towarzyska;ul. Floriańska 53;CRACOW;113
94;Przychodnia Towarzyska - Rewolucja;ul. Szewska 23;CRACOW;274
95;Ministerstwo Klub Muzyczny;ul. Szpitalna 1;CRACOW;223
96;Mleczarnia;ul. Meiselsa 20;CRACOW;140
97;Jazz Faust Cafe ;ul. Szewska 21;CRACOW;358
98;JazzRock Cafe;ul. Sławkowska 12;CRACOW;53
99;Ptaszyl;ul. Szeroka 10;CRACOW;137
100;Pub Galaktyka;ul. Pachońskiego 8;CRACOW;350
101;Pub Popularny;ul. Grodzka 31;CRACOW;114
102;Pub Społem;ul. Tomasza 4;CRACOW;310
103;Młoda Nowa Polska;ul. Stolarska 1;CRACOW;290
104;Moliere Centrum Kultury i Sztuki;ul. Szewska 4;CRACOW;179
105;Gold Club Go-Go;ul. Księcia Józefa 71;CRACOW;308
106;Gwarek - studencki klub muzyczny;ul. Reymonta 17;CRACOW;220
107;Indigo;ul. Floriańska 26;CRACOW;284
108;Inkwizytor;ul. Kanonicza 1;CRACOW;197
109;Irish Pub Pod Papugami;ul. Św. Jana 18;CRACOW;169
110;MS Grill bar;ul. Kurniki 6;CRACOW;64
111;Hedonic Club & Lounge;ul. Szewska 9 (1 piętro);CRACOW;356
112;Hell & Heaven;ul. Brzozowa 8;CRACOW;348
113;Huśtawka;ul. Św. Tomasza 9;CRACOW;30
114;El Fuego;ul. Estery 5;CRACOW;215
115;Enso Lounge;ul. Karmelicka 52;CRACOW;327
116;Fantasy Park;ul. Aleja Pokoju 44;CRACOW;302
117;Filmowa Cafe;al. Krasińskiego 34;CRACOW;286
118;Folia Concept Club;Rynek Główny 30;CRACOW;307
119;De Cafencja;ul. Sławkowska 4;CRACOW;50
120;Drukarnia - Podgórze;ul. Nadwiślańska 1;CRACOW;320
121;Frantic Music Club;ul. Szewska 5;CRACOW;253
122;Café Larousse;ul. Św. Tomasza 22;CRACOW;200
123;Café Numero;Rynek Główny 6;CRACOW;74
124;Bafomet Club;ul. Szewska 9;CRACOW;357
125;Baraka;ul. Warszauera 1 (pl. Nowy);CRACOW;229
126;Barrock;ul. Wąska 2;CRACOW;272
127;Biesiada Klub;ul. Senacka 7;CRACOW;125
128;Café Rękawka;ul. Brodzińskiego 4b;CRACOW;216
129;Café Szafé;ul. Felicjanek 10;CRACOW;156
130;Cafe Botanica;ul. Bracka 9;CRACOW;1
131;Cafe Cabaret;ul. Jabłonowskich 6;CRACOW;162
132;Black Gallery;ul. Mikołajska 24;CRACOW;80
133;Bomba;Plac Szczepański 2/1;CRACOW;360
134;Boogie Cafe Bar;ul. Szpitalna 9 (wejscie od ul. św.Tomasza);CRACOW;256
135;Boom Bar Rush;ul. Gołębia 6;CRACOW;278
136;Cafe Gołębia 3;ul. Gołębia 3;CRACOW;44
137;Cafe Magia;Pl. Mariacki 3;CRACOW;331
138;Break Bilard Club;ul. Zbożowa 2;CRACOW;353
139;Absynt;Ul. Miodowa 26;CRACOW;294
140;Albo Tak;Mały Rynek 4;CRACOW;247
141;Alchemia;ul. Estery 5;CRACOW;225
142;Cafe Malaga;Rynek Główny 11;CRACOW;130
143;Cafe Manekin;ul. Św. Tomasza 25;CRACOW;26
144;Aleksander's Chocolate Bar;Ul. Karmelicka 56;CRACOW;324
145;Aloha Cafe;ul. Miodowa 28A;CRACOW;339
146;Cafe Młynek;pl. Wolnica 7;CRACOW;131
147;Cafe Premiera;ul. Michałowskiego 4;CRACOW;211
148;Caffe Ragazzo;ul. Szewska 10;CRACOW;207
149;Alter Ego;ul. Floriańska 13;CRACOW;255
150;Ambasada Pub;ul. Starowiślna 12;CRACOW;304
151;Art Club Błędne Koło;ul. Bracka 4 (I piętro, obok galerii);CRACOW;213
152;Camera Cafe;ul. Wiślna 5;CRACOW;329
153;Camera Cafe Club;Plac Nowy 9;CRACOW;330
154;Atmosfera;pl. Szczepański 7;CRACOW;29
155;Awaria, Klub Muzyczny;ul. Mikołajska 9;CRACOW;119
156;Carpe Diem;ul. Floriańska 33;CRACOW;261
157;Casa Del La Pizza;Mały Rynek 2;CRACOW;173
158;Chill Out Cafe;ul. Św. Jana 15;CRACOW;193
159;Chocoffee Galeria Kawy i Czekolady;ul. Wiślna 8;CRACOW;361
160;Cień Klub;ul. Św. Jana 15;CRACOW;188
161;Club 07;Florianska 47;CRACOW;298
162;Club Clu;ul. Szeroka 10;CRACOW;288
163;Club VIP Night Club GoGo Kraków;ul. Filipa 7;CRACOW;344
164;ClubOKOcafé;ul. Węgierska 1 (Podgórze);CRACOW;198
165;Coltrane Restaurant & Music Bar;ul. Biskupia 4;CRACOW;338
166;Cudowne lata;ul. Karmelicka 43;CRACOW;212
167;Czasem trzeba;ul. Mikolajska 14;CRACOW;202
168;Czekolada;ul. Bracka 4;CRACOW;88
