url;nazwa;lokalizacja
"http://knajpy.krakow.pl/lokal/176";"Klub Kulturalny";"ul. Szewska 25"
"http://knajpy.krakow.pl/lokal/248";"Klub Obsesja";"ul. Floriañska 24"
"http://knajpy.krakow.pl/lokal/70";"Pierwszy lokal na Stolarskiej po lewej stronie id¹c od Ma³ego Rynku";"ul. Stolarska 6/1"
"http://knajpy.krakow.pl/lokal/333";"Playground";"ul. Wielopole 15"
"http://knajpy.krakow.pl/lokal/46";"Pod Amorem - Pizzeria i Winiarnia";"ul. Œw. Tomasza 7"
"http://knajpy.krakow.pl/lokal/170";"Pod Z³ot¹ Pip¹";"ul. Floriañska 30"
"http://knajpy.krakow.pl/lokal/321";"Magiel na Kazimierzu";"Ul. Meiselsa 9"
"http://knajpy.krakow.pl/lokal/340";"Masada";"ul. Skawiñska 2"
"http://knajpy.krakow.pl/lokal/145";"£ubu-dubu Klubokawiarnia";"ul. Wielopole 15"
"http://knajpy.krakow.pl/lokal/316";"Kolanko No 6";"Ul. Józefa 17"
"http://knajpy.krakow.pl/lokal/160";"Krakowska Piwnica Artystyczno - Muzyczna Faust";"Rynek G³ówny 6"
"http://knajpy.krakow.pl/lokal/78";"Krawat Klub";"Rynek G³ówny 29"
"http://knajpy.krakow.pl/lokal/76";"Podium";"ul. Bracka 4"
"http://knajpy.krakow.pl/lokal/55";"Polibuda Pub";"ul. Warszawska 17"
"http://knajpy.krakow.pl/lokal/312";"Portofino";"ul. W¹ska 2"
"http://knajpy.krakow.pl/lokal/146";"Prowincja";"ul. Bracka 3"
"http://knajpy.krakow.pl/lokal/134";"Mechanoff Clab";"ul. Estery 8"
"http://knajpy.krakow.pl/lokal/293";"Midgard";"ul. Szpitalna 38"
"http://knajpy.krakow.pl/lokal/45";"Migrena Cafe";"ul. Go³êbia 3"
"http://knajpy.krakow.pl/lokal/49";"Kryjówka - Music Club & Restaurant";"ul. S³awkowska 11"
"http://knajpy.krakow.pl/lokal/192";"Krzysztofory Kawiarnia";"ul. Szczepañska 2"
"http://knajpy.krakow.pl/lokal/257";"Kwadrat Studenckie Centrum Kultury PK";"ul. Skar¿yñskiego 1"
"http://knajpy.krakow.pl/lokal/246";"Prozak";"Pl. Dominikañski 6"
"http://knajpy.krakow.pl/lokal/113";"Przychodnia Towarzyska";"ul. Floriañska 53"
"http://knajpy.krakow.pl/lokal/274";"Przychodnia Towarzyska - Rewolucja";"ul. Szewska 23"
"http://knajpy.krakow.pl/lokal/223";"Ministerstwo Klub Muzyczny";"ul. Szpitalna 1"
"http://knajpy.krakow.pl/lokal/140";"Mleczarnia";"ul. Meiselsa 20"
"http://knajpy.krakow.pl/lokal/358";"Jazz Faust Cafe ";"ul. Szewska 21"
"http://knajpy.krakow.pl/lokal/53";"JazzRock Cafe";"ul. S³awkowska 12"
"http://knajpy.krakow.pl/lokal/137";"Ptaszyl";"ul. Szeroka 10"
"http://knajpy.krakow.pl/lokal/350";"Pub Galaktyka";"ul. Pachoñskiego 8"
"http://knajpy.krakow.pl/lokal/114";"Pub Popularny";"ul. Grodzka 31"
"http://knajpy.krakow.pl/lokal/310";"Pub Spo³em";"ul. Tomasza 4"
"http://knajpy.krakow.pl/lokal/290";"M³oda Nowa Polska";"ul. Stolarska 1"
